timestamp_utc,experiment_id,label,namespace,pod_name,cpu_millicores,memory_mib,restart_count,phase,ready,node,collection_error,source_file,ready_numeric,pod_present,collection_error_present
2026-07-22T15:24:28.340253+00:00,CPU-01,cpu_stress,seminar,predictive-app-7d999b6db7-247zj,35.302,32.746,0.0,Running,True,seminar-lab-control-plane,,CPU-01_metrics.csv,1,1,0
2026-07-22T15:24:35.133069+00:00,CPU-01,cpu_stress,seminar,predictive-app-7d999b6db7-247zj,32.027,32.984,0.0,Running,True,seminar-lab-control-plane,,CPU-01_metrics.csv,1,1,0
2026-07-22T15:24:40.739659+00:00,CPU-01,cpu_stress,seminar,predictive-app-7d999b6db7-247zj,32.027,32.984,0.0,Running,True,seminar-lab-control-plane,,CPU-01_metrics.csv,1,1,0
2026-07-22T15:24:46.401641+00:00,CPU-01,cpu_stress,seminar,predictive-app-7d999b6db7-247zj,32.027,32.984,0.0,Running,True,seminar-lab-control-plane,,CPU-01_metrics.csv,1,1,0
2026-07-22T15:24:52.123101+00:00,CPU-01,cpu_stress,seminar,predictive-app-7d999b6db7-247zj,35.89,33.234,0.0,Running,True,seminar-lab-control-plane,,CPU-01_metrics.csv,1,1,0
2026-07-22T15:24:58.261378+00:00,CPU-01,cpu_stress,seminar,predictive-app-7d999b6db7-247zj,35.89,33.234,0.0,Running,True,seminar-lab-control-plane,,CPU-01_metrics.csv,1,1,0
2026-07-22T15:25:06.362944+00:00,CPU-01,cpu_stress,seminar,predictive-app-7d999b6db7-247zj,31.366,32.992,0.0,Running,True,seminar-lab-control-plane,,CPU-01_metrics.csv,1,1,0
2026-07-22T15:25:12.048727+00:00,CPU-01,cpu_stress,seminar,predictive-app-7d999b6db7-247zj,31.366,32.992,0.0,Running,True,seminar-lab-control-plane,,CPU-01_metrics.csv,1,1,0
2026-07-22T15:25:19.528278+00:00,CPU-01,cpu_stress,seminar,predictive-app-7d999b6db7-247zj,35.01,32.984,0.0,Running,True,seminar-lab-control-plane,,CPU-01_metrics.csv,1,1,0
2026-07-22T15:25:25.205948+00:00,CPU-01,cpu_stress,seminar,predictive-app-7d999b6db7-247zj,35.01,32.984,0.0,Running,True,seminar-lab-control-plane,,CPU-01_metrics.csv,1,1,0
2026-07-22T15:25:31.209087+00:00,CPU-01,cpu_stress,seminar,predictive-app-7d999b6db7-247zj,35.01,32.984,0.0,Running,True,seminar-lab-control-plane,,CPU-01_metrics.csv,1,1,0
2026-07-22T15:25:36.852679+00:00,CPU-01,cpu_stress,seminar,predictive-app-7d999b6db7-247zj,38.854,32.992,0.0,Running,True,seminar-lab-control-plane,,CPU-01_metrics.csv,1,1,0
2026-07-22T15:25:42.435958+00:00,CPU-01,cpu_stress,seminar,predictive-app-7d999b6db7-247zj,38.854,32.992,0.0,Running,True,seminar-lab-control-plane,,CPU-01_metrics.csv,1,1,0
2026-07-22T15:25:48.837293+00:00,CPU-01,cpu_stress,seminar,predictive-app-7d999b6db7-247zj,30.756,32.754,0.0,Running,True,seminar-lab-control-plane,,CPU-01_metrics.csv,1,1,0
2026-07-22T15:25:54.691696+00:00,CPU-01,cpu_stress,seminar,predictive-app-7d999b6db7-247zj,30.756,32.754,0.0,Running,True,seminar-lab-control-plane,,CPU-01_metrics.csv,1,1,0
2026-07-22T15:26:00.277707+00:00,CPU-01,cpu_stress,seminar,predictive-app-7d999b6db7-247zj,30.756,32.754,0.0,Running,True,seminar-lab-control-plane,,CPU-01_metrics.csv,1,1,0
2026-07-22T15:26:06.036592+00:00,CPU-01,cpu_stress,seminar,predictive-app-7d999b6db7-247zj,30.756,32.754,0.0,Running,True,seminar-lab-control-plane,,CPU-01_metrics.csv,1,1,0
2026-07-22T15:26:11.739782+00:00,CPU-01,cpu_stress,seminar,predictive-app-7d999b6db7-247zj,30.756,32.754,0.0,Running,True,seminar-lab-control-plane,,CPU-01_metrics.csv,1,1,0
2026-07-22T15:26:17.856140+00:00,CPU-01,cpu_stress,seminar,predictive-app-7d999b6db7-247zj,32.51,32.988,0.0,Running,True,seminar-lab-control-plane,,CPU-01_metrics.csv,1,1,0
2026-07-22T15:26:24.824654+00:00,CPU-01,cpu_stress,seminar,predictive-app-7d999b6db7-247zj,32.51,32.988,0.0,Running,True,seminar-lab-control-plane,,CPU-01_metrics.csv,1,1,0
2026-07-22T15:26:31.202086+00:00,CPU-01,cpu_stress,seminar,predictive-app-7d999b6db7-247zj,32.51,32.988,0.0,Running,True,seminar-lab-control-plane,,CPU-01_metrics.csv,1,1,0
2026-07-22T15:54:00.181657+00:00,CPU-02,cpu_stress,seminar,predictive-app-7d999b6db7-247zj,0.887,32.934,0.0,Running,True,seminar-lab-control-plane,,CPU-02_metrics.csv,1,1,0
2026-07-22T15:54:05.669659+00:00,CPU-02,cpu_stress,seminar,predictive-app-7d999b6db7-247zj,0.748,32.684,0.0,Running,True,seminar-lab-control-plane,,CPU-02_metrics.csv,1,1,0
2026-07-22T15:54:12.028285+00:00,CPU-02,cpu_stress,seminar,predictive-app-7d999b6db7-247zj,0.748,32.684,0.0,Running,True,seminar-lab-control-plane,,CPU-02_metrics.csv,1,1,0
2026-07-22T15:54:18.146397+00:00,CPU-02,cpu_stress,seminar,predictive-app-7d999b6db7-247zj,0.823,32.68,0.0,Running,True,seminar-lab-control-plane,,CPU-02_metrics.csv,1,1,0
2026-07-22T15:54:32.339102+00:00,CPU-02,cpu_stress,seminar,predictive-app-7d999b6db7-247zj,21.596,33.203,0.0,Running,True,seminar-lab-control-plane,,CPU-02_metrics.csv,1,1,0
2026-07-22T15:54:49.234984+00:00,CPU-02,cpu_stress,seminar,predictive-app-7d999b6db7-247zj,67.493,33.453,0.0,Running,True,seminar-lab-control-plane,,CPU-02_metrics.csv,1,1,0
2026-07-22T15:54:59.019172+00:00,CPU-02,cpu_stress,seminar,predictive-app-7d999b6db7-247zj,67.493,33.453,0.0,Running,True,seminar-lab-control-plane,,CPU-02_metrics.csv,1,1,0
2026-07-22T15:55:04.712050+00:00,CPU-02,cpu_stress,seminar,predictive-app-7d999b6db7-247zj,36.927,32.949,0.0,Running,True,seminar-lab-control-plane,,CPU-02_metrics.csv,1,1,0
2026-07-22T15:55:10.316550+00:00,CPU-02,cpu_stress,seminar,predictive-app-7d999b6db7-247zj,36.927,32.949,0.0,Running,True,seminar-lab-control-plane,,CPU-02_metrics.csv,1,1,0
2026-07-22T15:55:16.747175+00:00,CPU-02,cpu_stress,seminar,predictive-app-7d999b6db7-247zj,36.927,32.949,0.0,Running,True,seminar-lab-control-plane,,CPU-02_metrics.csv,1,1,0
2026-07-22T15:55:22.755282+00:00,CPU-02,cpu_stress,seminar,predictive-app-7d999b6db7-247zj,34.417,32.957,0.0,Running,True,seminar-lab-control-plane,,CPU-02_metrics.csv,1,1,0
2026-07-22T15:55:29.906055+00:00,CPU-02,cpu_stress,seminar,predictive-app-7d999b6db7-247zj,34.417,32.957,0.0,Running,True,seminar-lab-control-plane,,CPU-02_metrics.csv,1,1,0
2026-07-22T15:55:35.906585+00:00,CPU-02,cpu_stress,seminar,predictive-app-7d999b6db7-247zj,51.408,32.699,0.0,Running,True,seminar-lab-control-plane,,CPU-02_metrics.csv,1,1,0
2026-07-22T15:55:41.686823+00:00,CPU-02,cpu_stress,seminar,predictive-app-7d999b6db7-247zj,51.408,32.699,0.0,Running,True,seminar-lab-control-plane,,CPU-02_metrics.csv,1,1,0
2026-07-22T15:55:47.218865+00:00,CPU-02,cpu_stress,seminar,predictive-app-7d999b6db7-247zj,37.586,33.199,0.0,Running,True,seminar-lab-control-plane,,CPU-02_metrics.csv,1,1,0
2026-07-22T15:55:53.232784+00:00,CPU-02,cpu_stress,seminar,predictive-app-7d999b6db7-247zj,37.586,33.199,0.0,Running,True,seminar-lab-control-plane,,CPU-02_metrics.csv,1,1,0
2026-07-22T15:55:59.570996+00:00,CPU-02,cpu_stress,seminar,predictive-app-7d999b6db7-247zj,37.586,33.199,0.0,Running,True,seminar-lab-control-plane,,CPU-02_metrics.csv,1,1,0
2026-07-22T15:56:05.475275+00:00,CPU-02,cpu_stress,seminar,predictive-app-7d999b6db7-247zj,31.474,33.441,0.0,Running,True,seminar-lab-control-plane,,CPU-02_metrics.csv,1,1,0
2026-07-22T15:56:11.162712+00:00,CPU-02,cpu_stress,seminar,predictive-app-7d999b6db7-247zj,31.474,33.441,0.0,Running,True,seminar-lab-control-plane,,CPU-02_metrics.csv,1,1,0
2026-07-22T15:56:16.885470+00:00,CPU-02,cpu_stress,seminar,predictive-app-7d999b6db7-247zj,31.474,33.441,0.0,Running,True,seminar-lab-control-plane,,CPU-02_metrics.csv,1,1,0
2026-07-22T15:56:22.618985+00:00,CPU-02,cpu_stress,seminar,predictive-app-7d999b6db7-247zj,380.827,33.305,0.0,Running,True,seminar-lab-control-plane,,CPU-02_metrics.csv,1,1,0
2026-07-22T15:56:28.267485+00:00,CPU-02,cpu_stress,seminar,predictive-app-7d999b6db7-247zj,380.827,33.305,0.0,Running,True,seminar-lab-control-plane,,CPU-02_metrics.csv,1,1,0
2026-07-22T15:56:34.230620+00:00,CPU-02,cpu_stress,seminar,predictive-app-7d999b6db7-247zj,501.199,33.793,0.0,Running,True,seminar-lab-control-plane,,CPU-02_metrics.csv,1,1,0
2026-07-22T15:56:39.973632+00:00,CPU-02,cpu_stress,seminar,predictive-app-7d999b6db7-247zj,501.199,33.793,0.0,Running,True,seminar-lab-control-plane,,CPU-02_metrics.csv,1,1,0
2026-07-22T15:56:46.864115+00:00,CPU-02,cpu_stress,seminar,predictive-app-7d999b6db7-247zj,501.199,33.793,0.0,Running,True,seminar-lab-control-plane,,CPU-02_metrics.csv,1,1,0
