experiment_id,dataset_role,rows,actual_positive_60m,predicted_anomalies,anomaly_rate,anomaly_score_min,anomaly_score_mean,anomaly_score_max
TS-HB-01,healthy_training,90,0,5,0.05555555555555555,-0.19150108735219856,-0.11375430390475891,0.0814164977923364
TS-HB-02,healthy_holdout,90,0,15,0.16666666666666666,-0.0519611812469164,-0.023823524180691724,0.04445282963561725
TS-MEM-01,failure_evaluation,86,59,78,0.9069767441860465,-0.08284421772903022,0.06657986893173545,0.107973054796346
