metric_name,timestamp,metric_value,check,error,error_code,expected_response,group,method,name,proto,scenario,service,status,subproto,tls_version,url,extra_tags,metadata
http_reqs,1784581549,1.000000,,EOF,1000,false,,GET,http://localhost:8080/work,,application_workload,,0,,,http://localhost:8080/work,,
http_req_duration,1784581549,69.061000,,EOF,1000,false,,GET,http://localhost:8080/work,,application_workload,,0,,,http://localhost:8080/work,,
http_req_blocked,1784581549,18.741100,,EOF,1000,false,,GET,http://localhost:8080/work,,application_workload,,0,,,http://localhost:8080/work,,
http_req_connecting,1784581549,1.071400,,EOF,1000,false,,GET,http://localhost:8080/work,,application_workload,,0,,,http://localhost:8080/work,,
http_req_tls_handshaking,1784581549,0.000000,,EOF,1000,false,,GET,http://localhost:8080/work,,application_workload,,0,,,http://localhost:8080/work,,
http_req_sending,1784581549,0.000000,,EOF,1000,false,,GET,http://localhost:8080/work,,application_workload,,0,,,http://localhost:8080/work,,
http_req_waiting,1784581549,69.061000,,EOF,1000,false,,GET,http://localhost:8080/work,,application_workload,,0,,,http://localhost:8080/work,,
http_req_receiving,1784581549,0.000000,,EOF,1000,false,,GET,http://localhost:8080/work,,application_workload,,0,,,http://localhost:8080/work,,
http_req_failed,1784581549,1.000000,,EOF,1000,false,,GET,http://localhost:8080/work,,application_workload,,0,,,http://localhost:8080/work,,
checks,1784581549,0.000000,status is 200,,,,,,,,application_workload,,,,,,,
data_sent,1784581549,74.000000,,,,,,,,,application_workload,,,,,,,
data_received,1784581549,0.000000,,,,,,,,,application_workload,,,,,,,
iteration_duration,1784581549,92.379000,,,,,,,,,application_workload,,,,,,,
iterations,1784581549,1.000000,,,,,,,,,application_workload,,,,,,,
http_reqs,1784581549,1.000000,,,,true,,GET,http://localhost:8080/work,HTTP/1.1,application_workload,,200,,,http://localhost:8080/work,,
http_req_duration,1784581549,59.312200,,,,true,,GET,http://localhost:8080/work,HTTP/1.1,application_workload,,200,,,http://localhost:8080/work,,
http_req_blocked,1784581549,1.613200,,,,true,,GET,http://localhost:8080/work,HTTP/1.1,application_workload,,200,,,http://localhost:8080/work,,
http_req_connecting,1784581549,0.535700,,,,true,,GET,http://localhost:8080/work,HTTP/1.1,application_workload,,200,,,http://localhost:8080/work,,
http_req_tls_handshaking,1784581549,0.000000,,,,true,,GET,http://localhost:8080/work,HTTP/1.1,application_workload,,200,,,http://localhost:8080/work,,
http_req_sending,1784581549,34.142500,,,,true,,GET,http://localhost:8080/work,HTTP/1.1,application_workload,,200,,,http://localhost:8080/work,,
