timestamp_utc,experiment_id,label,namespace,pod_name,cpu_millicores,memory_mib,restart_count,phase,ready,node,collection_error,ready_numeric,elapsed_seconds,cpu_millicores_roll_5m_mean,cpu_millicores_roll_5m_std,cpu_millicores_roll_5m_min,cpu_millicores_roll_5m_max,cpu_millicores_roll_5m_range,cpu_millicores_roll_5m_delta,cpu_millicores_roll_15m_mean,cpu_millicores_roll_15m_std,cpu_millicores_roll_15m_min,cpu_millicores_roll_15m_max,cpu_millicores_roll_15m_range,cpu_millicores_roll_15m_delta,cpu_millicores_roll_30m_mean,cpu_millicores_roll_30m_std,cpu_millicores_roll_30m_min,cpu_millicores_roll_30m_max,cpu_millicores_roll_30m_range,cpu_millicores_roll_30m_delta,memory_mib_roll_5m_mean,memory_mib_roll_5m_std,memory_mib_roll_5m_min,memory_mib_roll_5m_max,memory_mib_roll_5m_range,memory_mib_roll_5m_delta,memory_mib_roll_15m_mean,memory_mib_roll_15m_std,memory_mib_roll_15m_min,memory_mib_roll_15m_max,memory_mib_roll_15m_range,memory_mib_roll_15m_delta,memory_mib_roll_30m_mean,memory_mib_roll_30m_std,memory_mib_roll_30m_min,memory_mib_roll_30m_max,memory_mib_roll_30m_range,memory_mib_roll_30m_delta,cpu_change_1m,memory_change_1m,memory_growth_rate_mib_per_min,failure_timestamp_utc,minutes_to_failure,failure_within_5m,failure_within_15m,failure_within_30m,failure_within_60m
2026-07-24T10:11:15.564077+0000,TS-HB-01,healthy,seminar,predictive-app-788cd796db-kg6k9,16.839,36.332,5,Running,True,seminar-lab-control-plane,,1,0.0,16.839,0.0,16.839,16.839,0.0,0.0,16.839,0.0,16.839,16.839,0.0,0.0,16.839,0.0,16.839,16.839,0.0,0.0,36.332,0.0,36.332,36.332,0.0,0.0,36.332,0.0,36.332,36.332,0.0,0.0,36.332,0.0,36.332,36.332,0.0,0.0,0.0,0.0,0.0,,,0,0,0,0
2026-07-24T10:12:16.124385+0000,TS-HB-01,healthy,seminar,predictive-app-788cd796db-kg6k9,16.762,36.348,5,Running,True,seminar-lab-control-plane,,1,60.560308,16.8005,0.03849999999999909,16.762,16.839,0.07699999999999818,-0.07699999999999818,16.8005,0.03849999999999909,16.762,16.839,0.07699999999999818,-0.07699999999999818,16.8005,0.03849999999999909,16.762,16.839,0.07699999999999818,-0.07699999999999818,36.34,0.007999999999997343,36.332,36.348,0.015999999999998238,0.015999999999998238,36.34,0.007999999999997343,36.332,36.348,0.015999999999998238,0.015999999999998238,36.34,0.007999999999997343,36.332,36.348,0.015999999999998238,0.015999999999998238,-0.07699999999999818,0.015999999999998238,0.01585196693517302,,,0,0,0,0
2026-07-24T10:13:16.565924+0000,TS-HB-01,healthy,seminar,predictive-app-788cd796db-kg6k9,16.723,35.859,5,Running,True,seminar-lab-control-plane,,1,121.001847,16.774666666666665,0.04819635763093339,16.723,16.839,0.11599999999999966,-0.11599999999999966,16.774666666666665,0.04819635763093339,16.723,16.839,0.11599999999999966,-0.11599999999999966,16.774666666666665,0.04819635763093339,16.723,16.839,0.11599999999999966,-0.11599999999999966,36.17966666666667,0.2268396398829414,35.859,36.348,0.4889999999999972,-0.472999999999999,36.17966666666667,0.2268396398829414,35.859,36.348,0.4889999999999972,-0.472999999999999,36.17966666666667,0.2268396398829414,35.859,36.348,0.4889999999999972,-0.472999999999999,-0.03900000000000148,-0.4889999999999972,-0.48542774531270344,,,0,0,0,0
2026-07-24T10:14:17.209864+0000,TS-HB-01,healthy,seminar,predictive-app-788cd796db-kg6k9,13.402,36.363,5,Running,True,seminar-lab-control-plane,,1,181.645787,15.9315,1.461003850097596,13.402,16.839,3.4369999999999994,-3.4369999999999994,15.9315,1.461003850097596,13.402,16.839,3.4369999999999994,-3.4369999999999994,15.9315,1.461003850097596,13.402,16.839,3.4369999999999994,-3.4369999999999994,36.2255,0.21188263260588378,35.859,36.363,0.5039999999999978,0.030999999999998806,36.2255,0.21188263260588378,35.859,36.363,0.5039999999999978,0.030999999999998806,36.2255,0.21188263260588378,35.859,36.363,0.5039999999999978,0.030999999999998806,-3.3209999999999997,0.5039999999999978,0.4986483398011387,,,0,0,0,0
2026-07-24T10:15:17.646269+0000,TS-HB-01,healthy,seminar,predictive-app-788cd796db-kg6k9,14.294,35.863,5,Running,True,seminar-lab-control-plane,,1,242.082192,15.604,1.4617287025983987,13.402,16.839,3.4369999999999994,-2.544999999999998,15.604,1.4617287025983987,13.402,16.839,3.4369999999999994,-2.544999999999998,15.604,1.4617287025983987,13.402,16.839,3.4369999999999994,-2.544999999999998,36.153,0.23862187661654294,35.859,36.363,0.5039999999999978,-0.4690000000000012,36.153,0.23862187661654294,35.859,36.363,0.5039999999999978,-0.4690000000000012,36.153,0.23862187661654294,35.859,36.363,0.5039999999999978,-0.4690000000000012,0.8920000000000012,-0.5,-0.49638955195961776,,,0,0,0,0
2026-07-24T10:16:18.219752+0000,TS-HB-01,healthy,seminar,predictive-app-788cd796db-kg6k9,15.443,35.867,5,Running,True,seminar-lab-control-plane,,1,302.655675,15.3248,1.3262116573156784,13.402,16.762,3.360000000000001,-1.3190000000000008,15.577166666666665,1.3357179613309917,13.402,16.839,3.4369999999999994,-1.395999999999999,15.577166666666665,1.3357179613309917,13.402,16.839,3.4369999999999994,-1.395999999999999,36.06,0.24133462246433185,35.859,36.363,0.5039999999999978,-0.48100000000000165,36.105333333333334,0.24250956453074163,35.859,36.363,0.5039999999999978,-0.4650000000000034,36.105333333333334,0.24250956453074163,35.859,36.363,0.5039999999999978,-0.4650000000000034,1.1489999999999991,0.003999999999997783,0.003962129765591768,,,0,0,0,0
2026-07-24T10:17:18.932357+0000,TS-HB-01,healthy,seminar,predictive-app-788cd796db-kg6k9,16.387,35.867,5,Running,True,seminar-lab-control-plane,,1,363.36828,15.249799999999999,1.2513022656416786,13.402,16.723,3.3209999999999997,-0.3359999999999985,15.692857142857141,1.2686885724548596,13.402,16.839,3.4369999999999994,-0.4519999999999982,15.692857142857141,1.2686885724548596,13.402,16.839,3.4369999999999994,-0.4519999999999982,35.9638,0.1996220428710265,35.859,36.363,0.5039999999999978,0.007999999999995566,36.071285714285715,0.23950944764289608,35.859,36.363,0.5039999999999978,-0.4650000000000034,36.071285714285715,0.23950944764289608,35.859,36.363,0.5039999999999978,-0.4650000000000034,0.9440000000000008,0.0,0.0,,,0,0,0,0
2026-07-24T10:18:19.399197+0000,TS-HB-01,healthy,seminar,predictive-app-788cd796db-kg6k9,14.684,35.867,5,Running,True,seminar-lab-control-plane,,1,423.83512,14.841999999999999,1.0146027794166532,13.402,16.387,2.985000000000001,1.282,15.566749999999999,1.2327592780019947,13.402,16.839,3.4369999999999994,-2.1549999999999994,15.566749999999999,1.2327592780019947,13.402,16.839,3.4369999999999994,-2.1549999999999994,35.965399999999995,0.19880603612567213,35.863,36.363,0.5,-0.4960000000000022,36.04575,0.2340057424509088,35.859,36.363,0.5039999999999978,-0.4650000000000034,36.04575,0.2340057424509088,35.859,36.363,0.5039999999999978,-0.4650000000000034,-1.7030000000000012,0.0,0.0,,,0,0,0,0
2026-07-24T10:19:19.919456+0000,TS-HB-01,healthy,seminar,predictive-app-788cd796db-kg6k9,15.881,36.129,5,Running,True,seminar-lab-control-plane,,1,484.355379,15.337799999999998,0.7647125996085059,14.294,16.387,2.093,1.5869999999999997,15.601666666666667,1.1664449313095655,13.402,16.839,3.4369999999999994,-0.9579999999999984,15.601666666666667,1.1664449313095655,13.402,16.839,3.4369999999999994,-0.9579999999999984,35.918600000000005,0.10521140622575897,35.863,36.129,0.26599999999999824,0.26599999999999824,36.055,0.2221686046427123,35.859,36.363,0.5039999999999978,-0.20300000000000296,36.055,0.2221686046427123,35.859,36.363,0.5039999999999978,-0.20300000000000296,1.197000000000001,0.26200000000000045,0.25974773174714977,,,0,0,0,0
2026-07-24T10:20:20.460910+0000,TS-HB-01,healthy,seminar,predictive-app-788cd796db-kg6k9,13.692,35.879,5,Running,True,seminar-lab-control-plane,,1,544.896833,15.217400000000001,0.9455776224086517,13.692,16.387,2.6950000000000003,-1.7509999999999994,15.4107,1.2460934194513666,13.402,16.839,3.4369999999999994,-3.1469999999999985,15.4107,1.2460934194513666,13.402,16.839,3.4369999999999994,-3.1469999999999985,35.921800000000005,0.1037041947078408,35.867,36.129,0.26200000000000045,0.012000000000000455,36.0374,0.2172805559639446,35.859,36.363,0.5039999999999978,-0.45300000000000296,36.0374,0.2172805559639446,35.859,36.363,0.5039999999999978,-0.45300000000000296,-2.189,-0.25,-0.24776411878049703,,,0,0,0,0
